base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand
0_HourlyBenchmark,1,Gurobi,0.0,4.5899009,13.6961244,1.5222541,1.1668748,126.55289998032853,OPTIMAL,800,602,0.0,0.0,,0,0
kmeans_cross_convex,2,Gurobi,5.2561122,0.2793451,0.8770334,0.0038619,0.0072963,72.59663817451116,OPTIMAL,8,8,0.002737,1130.979292118751,OPTIMAL,39,0
kmeans_cross_convex,2,Gurobi,0.3387815,0.3395891,1.1206427,0.0027221,0.0075638,72.59663817451116,OPTIMAL,8,8,0.0019733,1130.979292118751,OPTIMAL,39,0
kmeans_cross_convex,2,Gurobi,0.281493,0.3319634,0.9210344,0.0029936,0.0086768,72.59663817451116,OPTIMAL,8,8,0.0018158,1130.979292118751,OPTIMAL,39,0
kmeans_cross_convex,2,Gurobi,0.2932646,0.3384959,0.7804834,0.0040467,0.0056824,72.59663817451116,OPTIMAL,8,8,0.0017128,1130.979292118751,OPTIMAL,39,0
kmeans_cross_convex,2,Gurobi,0.0446546,0.2348194,0.7294131,0.0028753,0.0063988,72.59663817451116,OPTIMAL,8,8,0.0020466,1130.979292118751,OPTIMAL,39,0
kmeans_cross_convex,2,Gurobi,0.0452663,0.2831691,0.7276208,0.0028666,0.0054145,72.59663817451116,OPTIMAL,8,8,0.002216,1130.979292118751,OPTIMAL,39,0
kmeans_cross_convex,2,Gurobi,0.2429299,0.2581512,0.6779092,0.0026623,0.0048789,72.59663817451116,OPTIMAL,8,8,0.0017309,1130.979292118751,OPTIMAL,39,0
kmeans_cross_convex,2,Gurobi,0.0448301,0.2352386,0.7089309,0.0031258,0.005721,72.59663817451116,OPTIMAL,8,8,0.0017818,1130.979292118751,OPTIMAL,39,0
kmeans_cross_convex,2,Gurobi,0.0465648,0.2526043,0.7924775,0.0038449,0.0065324,72.59663817451116,OPTIMAL,8,8,0.0018391,1130.979292118751,OPTIMAL,39,0
kmeans_cross_convex,2,Gurobi,0.0455099,0.2575841,0.772089,0.0028896,0.0061521,72.59663817451116,OPTIMAL,8,8,0.0016948,1130.979292118751,OPTIMAL,39,0
kmeans_cross_convex,4,Gurobi,0.1050022,0.2607018,0.8759496,0.0031208,0.0077847,81.67405673553439,OPTIMAL,16,14,0.0021902,668.0628429165764,OPTIMAL,26,0
kmeans_cross_convex,4,Gurobi,0.2811233,0.2465575,0.6569277,0.0030916,0.0054278,81.67405673553439,OPTIMAL,16,14,0.0017465,668.0628429165764,OPTIMAL,26,0
kmeans_cross_convex,4,Gurobi,0.0771664,0.2392965,0.6964066,0.003667,0.005401,80.45632577313938,OPTIMAL,16,14,0.0022238,716.977938981646,OPTIMAL,28,0
kmeans_cross_convex,4,Gurobi,0.1484915,0.2279124,0.6934239,0.0031232,0.0053013,79.48388845996519,OPTIMAL,16,14,0.0020733,759.7881380633827,OPTIMAL,29,0
kmeans_cross_convex,4,Gurobi,0.0713879,0.2449378,0.7525141,0.0037316,0.0058074,81.67394021752071,OPTIMAL,16,14,0.0019513,668.0628429165764,OPTIMAL,26,0
kmeans_cross_convex,4,Gurobi,0.1343429,0.226899,0.6796585,0.0025805,0.0055681,81.67405673553439,OPTIMAL,16,14,0.0018896,668.0628429165764,OPTIMAL,26,0
kmeans_cross_convex,4,Gurobi,0.0763796,0.2407335,0.7489531,0.0026427,0.0059016,80.45628625563216,OPTIMAL,16,14,0.0021815,716.977938981646,OPTIMAL,28,0
kmeans_cross_convex,4,Gurobi,0.1297595,0.2433632,0.6609374,0.0028929,0.0056449,81.67405673553439,OPTIMAL,16,14,0.0019854,668.0628429165764,OPTIMAL,26,0
kmeans_cross_convex,4,Gurobi,0.0739826,0.2470341,0.7442793,0.0032163,0.0061575,81.12521997894547,OPTIMAL,16,14,0.0020816,689.3400724224153,OPTIMAL,27,0
kmeans_cross_convex,4,Gurobi,0.1294006,0.2486557,0.6476865,0.0035033,0.0055424,81.67405673553439,OPTIMAL,16,14,0.0018762,668.0628429165764,OPTIMAL,26,0
kmeans_cross_convex,6,Gurobi,0.0786992,0.2428476,0.7353776,0.002583,0.0052168,90.91707662817804,OPTIMAL,24,20,0.0018298,396.69667890325286,OPTIMAL,17,0
kmeans_cross_convex,6,Gurobi,0.1295079,0.2331772,0.6958491,0.0030868,0.0058374,95.35734225298893,OPTIMAL,24,20,0.0019236,305.514959664579,OPTIMAL,12,0
kmeans_cross_convex,6,Gurobi,0.0714952,0.2470228,0.7221637,0.0036274,0.0059539,94.46672848971092,OPTIMAL,24,20,0.0019998,320.2299833281162,OPTIMAL,14,0
kmeans_cross_convex,6,Gurobi,0.1229643,0.2308179,0.6804578,0.0027444,0.0057107,84.15660507016398,OPTIMAL,24,20,0.002265,581.8001843140532,OPTIMAL,23,0
kmeans_cross_convex,6,Gurobi,0.0786478,0.2465862,0.7446214,0.0025963,0.0054267,84.15698122602679,OPTIMAL,24,20,0.0017201,581.8001843140532,OPTIMAL,23,0
kmeans_cross_convex,6,Gurobi,0.1328739,0.2342806,0.6542815,0.0027335,0.0051438,88.74873593762636,OPTIMAL,24,20,0.0023357,449.29851618799245,OPTIMAL,18,0
kmeans_cross_convex,6,Gurobi,0.1143092,0.2266786,0.6972102,0.0036868,0.0051737,92.19714906606087,OPTIMAL,24,20,0.0021483,367.5244625619076,OPTIMAL,16,0
kmeans_cross_convex,6,Gurobi,0.0813819,0.2748699,0.6953982,0.0030535,0.0051533,88.74873593762636,OPTIMAL,24,20,0.0018185,449.29851618799245,OPTIMAL,18,0
kmeans_cross_convex,6,Gurobi,0.1295323,0.2278749,0.7526952,0.0024781,0.0055677,96.32608306407555,OPTIMAL,24,20,0.0020185,289.95459300650106,OPTIMAL,12,0
kmeans_cross_convex,6,Gurobi,0.1254338,0.275965,0.7087598,0.0027117,0.005315,95.87881163283365,OPTIMAL,24,20,0.0017111,297.13517549753107,OPTIMAL,12,0
kmeans_cross_convex,8,Gurobi,0.0674939,0.2555515,0.7581606,0.0021915,0.005618,97.82871250257239,OPTIMAL,32,26,0.0016944,268.81831329120047,OPTIMAL,10,0
kmeans_cross_convex,8,Gurobi,0.111366,0.239243,0.7360184,0.0022496,0.0072455,101.78046755124747,OPTIMAL,32,26,0.0018061,228.70093108844418,OPTIMAL,6,0
kmeans_cross_convex,8,Gurobi,0.1061211,0.2449479,0.7200316,0.0031839,0.0056306,94.9257175746775,OPTIMAL,32,26,0.0017332,312.4435558693834,OPTIMAL,12,0
kmeans_cross_convex,8,Gurobi,0.0746755,0.270239,0.7984764,0.0022711,0.0059417,94.92450610875225,OPTIMAL,32,26,0.0013223,312.4435558693834,OPTIMAL,12,0
kmeans_cross_convex,8,Gurobi,0.1145301,0.2376675,0.6882549,0.0025373,0.0054191,94.92556713154907,OPTIMAL,32,26,0.0014622,312.4435558693834,OPTIMAL,12,0
kmeans_cross_convex,8,Gurobi,0.1055591,0.2436027,0.6933829,0.0029142,0.0057393,94.9111645479289,OPTIMAL,32,26,0.001559,312.67454715454693,OPTIMAL,12,0
