base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand,penalty_tot_loss_of_load,investment_cost,operational_cost,investment_cost_storage,investment_cost_renewable,investment_cost_non_renewable,investment_cost_electrolyzer,non_renewable_capacity
0_HourlyBenchmark,1,Xpress,0.0,110.415919,509.1730272,4643.7921208,95.2450314,4.8620311032507324e8,OPTIMAL,34120200,23739823,0.0,0.0,,65.4,23.8,272.347110273727,21.202796097914337,1.1741996254865646e6,4.338613713621266e8,9.830037135915015e6,6.076090770516418e6,1.501761940498679e8,7.17909358429493e7,2.0900970452079993e8,429.70613101088315
convex_cross,10,Xpress,88.7912216,2.2015958,25.6954546,67.8592726,1.8480208,4.7142567180926514e8,OPTIMAL,410445,204798,978.0087608,7.139742466038895e8,OPTIMAL,3363.0,375.6,11915.754019488983,363.54069675001836,4.911717886495691e7,4.049867668145077e8,6.131030982009842e7,5.945524201519346e6,1.6252028856023464e8,2.994718077334309e7,2.0900970452079993e8,301.31606509975177
convex_cross,20,Xpress,190.5168104,4.1774609,31.741395,153.1638825,3.7280815,4.892786653128433e8,OPTIMAL,563565,323598,751.3430987,5.0611624158582306e8,OPTIMAL,260.6,24.0,642.1108476561076,19.289297967618474,2.645600582494826e6,4.245075770344135e8,1.5698228417504286e7,7.18840773612784e6,1.350183163731809e8,7.640867143764992e7,2.0900970452079993e8,420.2906636164666
convex_cross,40,Xpress,376.1179544,8.5722768,44.831225,488.8202443,1.8785375,4.860351639025955e8,OPTIMAL,869805,561198,734.5888666,4.957318573143234e8,OPTIMAL,228.0,19.4,569.4080966547426,18.036608180418476,2.349778819340569e6,4.2819732583735645e8,1.2876564090246337e7,7.121076509699073e6,1.422750599666093e8,7.294319645280819e7,2.0900970452079993e8,417.1063444937506
convex_cross,60,Xpress,631.2066727,11.6916003,58.9735683,570.3353214,3.0322561,4.862052323835678e8,OPTIMAL,1176045,798798,797.1294425,4.9658309229102325e8,OPTIMAL,214.8,21.2,596.5873416082471,16.444470612818474,2.452127248884185e6,4.263246385993574e8,1.3368910158996262e7,7.351940731269806e6,1.385620994758734e8,7.481479737125541e7,2.0900970452079993e8,416.4708371246801
convex_cross,80,Xpress,707.5039906,18.800082,74.8360071,1011.4951934,4.2897707,4.81908131999115e8,OPTIMAL,1482285,1036398,789.0591794,4.9663612544568634e8,OPTIMAL,227.2,21.0,614.5650411770314,15.624835909818477,2.5207595083473236e6,4.250964371702479e8,1.3615363908255693e7,7.408476794376153e6,1.3667549296843496e8,7.546563214197737e7,2.0900970452079993e8,417.01125749308403
convex_cross,100,Xpress,1012.7036371,17.0104604,77.4047588,1325.8839573,5.1479557,4.830853708870163e8,OPTIMAL,1788525,1273998,738.2089949,4.957791448152847e8,OPTIMAL,199.6,23.6,605.2286979229204,20.757256000618476,2.5039438156940793e6,4.253812973495399e8,1.3394303979697777e7,7.318138382581396e6,1.3752402351599428e8,7.495575905330788e7,2.0900970452079993e8,416.5369013912151
convex_cross,150,Xpress,1902.5173893,35.400892,157.1232677,2676.0172365,7.7852986,4.8167068813196564e8,OPTIMAL,2554125,1867998,749.0615907,4.9528981032022095e8,OPTIMAL,181.0,22.8,587.2657663486342,20.056342758618477,2.4292884364289325e6,4.2636432532909787e8,1.31209873158562e7,7.191222115727124e6,1.3900799915401238e8,7.447594854478472e7,2.0900970452079993e8,416.64015561494784
convex_cross,225,Xpress,2987.9054563,54.4102655,167.155965,7231.9204304,13.1266058,4.895236959338608e8,OPTIMAL,3702525,2758998,704.5578256,4.923463702130585e8,OPTIMAL,86.6,5.8,187.34492075700715,4.139269407018477,765936.7606560285,4.350147126900849e8,1.0140601922713216e7,1.2417639569837166e7,1.434411069841299e8,7.677491008558857e7,2.0900970452079993e8,419.9944109470479
convex_cross,300,Xpress,3882.9684663,87.5420951,202.5921029,10014.6576011,16.9586827,4.876848269973068e8,OPTIMAL,4850925,3649998,768.1267663,4.918673474923935e8,OPTIMAL,91.0,6.0,242.1710403910328,3.8173515988184774,983953.5679593303,4.33919437978187e8,1.0295162784763742e7,1.2339093578686623e7,1.4475655906565306e8,7.428617698206897e7,2.0900970452079993e8,416.4210884927232
