base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,4.3444766,11.4894158,7.5924085,1.3779398,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
kmeans_cross_convex,4,Gurobi,9.4574767,0.2272584,0.6773234,0.0065083,0.0086538,544.9024045801449,OPTIMAL,672,581,0.077338,527.8305365033258,OPTIMAL,0
kmeans_cross_convex,4,Gurobi,0.9226974,0.2387348,0.6821374,0.0066463,0.0106614,544.8396598464519,OPTIMAL,672,581,0.0339847,527.887362179589,OPTIMAL,0
kmeans_cross_convex,4,Gurobi,0.8440456,0.2771786,0.7077549,0.0065068,0.0086252,544.8396598464519,OPTIMAL,672,581,0.0154618,527.887362179589,OPTIMAL,0
kmeans_cross_convex,4,Gurobi,0.9854016,0.2447762,0.7155824,0.0059239,0.0093854,544.8396598464519,OPTIMAL,672,581,0.0139673,527.887362179589,OPTIMAL,0
kmeans_cross_convex,4,Gurobi,0.8897027,0.2565939,1.0138935,0.0080381,0.0132758,544.8396598464519,OPTIMAL,672,581,0.0180525,527.887362179589,OPTIMAL,0
kmeans_cross_convex,4,Gurobi,1.2236575,0.3866653,1.0670777,0.0064866,0.0110477,544.9024045801449,OPTIMAL,672,581,0.0354192,527.8305365033258,OPTIMAL,0
kmeans_cross_convex,4,Gurobi,2.1411536,0.4066619,1.0946239,0.0076442,0.0122486,544.8396598464519,OPTIMAL,672,581,0.0422886,527.887362179589,OPTIMAL,0
kmeans_cross_convex,4,Gurobi,1.5287285,0.4533554,1.3075435,0.0094518,0.0231059,544.8396598464519,OPTIMAL,672,581,0.0250237,527.887362179589,OPTIMAL,0
kmeans_cross_convex,4,Gurobi,1.3135692,0.3700319,1.1231301,0.0067789,0.0143154,544.8396598464519,OPTIMAL,672,581,0.0167714,527.887362179589,OPTIMAL,0
kmeans_cross_convex,4,Gurobi,1.3630689,0.3928171,1.1225977,0.0079302,0.0145744,544.8396598464519,OPTIMAL,672,581,0.0167409,527.887362179589,OPTIMAL,0
kmeans_cross_convex,8,Gurobi,1.569077,0.4757268,1.2603722,0.0125449,0.0182049,529.8343323959737,OPTIMAL,1344,1157,0.0616916,519.7666981082642,OPTIMAL,0
kmeans_cross_convex,8,Gurobi,1.7168724,0.4142446,1.1208003,0.0104685,0.0115375,524.2986744981094,OPTIMAL,1344,1157,0.0547907,526.0978868587372,OPTIMAL,0
kmeans_cross_convex,8,Gurobi,2.8019677,0.2725826,0.9195185,0.0148176,0.0133619,532.5808021400657,OPTIMAL,1344,1157,0.0663956,519.7579936646698,OPTIMAL,0
kmeans_cross_convex,8,Gurobi,1.5439353,0.3772529,1.1370693,0.0112812,0.0210258,523.3498113958151,OPTIMAL,1344,1157,0.083133,526.1671188216076,OPTIMAL,0
kmeans_cross_convex,8,Gurobi,1.9424505,0.3594866,1.0460443,0.0126837,0.0143823,532.8290511027384,OPTIMAL,1344,1157,0.0851808,519.9053935108195,OPTIMAL,0
kmeans_cross_convex,8,Gurobi,1.6790193,0.4134424,1.131466,0.0105399,0.0109612,531.4040369568578,OPTIMAL,1344,1157,0.0351074,520.160190249373,OPTIMAL,0
kmeans_cross_convex,8,Gurobi,1.6702951,0.3929695,1.1443292,0.0141204,0.0175214,532.3755166959177,OPTIMAL,1344,1157,0.0400667,519.7490425634339,OPTIMAL,0
kmeans_cross_convex,8,Gurobi,1.4692296,0.4169083,1.2258525,0.0146298,0.0112271,531.7274673619937,OPTIMAL,1344,1157,0.0387655,520.126813268571,OPTIMAL,0
kmeans_cross_convex,8,Gurobi,2.4961381,0.2529696,0.7307075,0.0112657,0.0105102,529.3818116942933,OPTIMAL,1344,1157,0.0411647,519.7686140824972,OPTIMAL,0
kmeans_cross_convex,8,Gurobi,1.3536951,0.2864357,0.7849437,0.0111827,0.0134536,529.778673336945,OPTIMAL,1344,1157,0.0382693,520.0308802683023,OPTIMAL,0
kmeans_cross_convex,12,Gurobi,1.4693787,0.2607968,0.8232117,0.017363,0.0196002,525.8362044486998,OPTIMAL,2016,1733,0.0379998,518.9516177446211,OPTIMAL,0
kmeans_cross_convex,12,Gurobi,1.2416421,0.2621159,0.7445269,0.0149583,0.0132571,521.6496234231097,OPTIMAL,2016,1733,0.0798806,518.5315155136253,OPTIMAL,0
kmeans_cross_convex,12,Gurobi,1.5498101,0.2777999,0.8414594,0.0174765,0.0147552,523.8466353313903,OPTIMAL,2016,1733,0.0395935,519.2379064765714,OPTIMAL,0
