id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,e_demand,2030,1,1,1,0.027833616593487816
2,e_demand,2030,1,2,2,0.027833616593487816
3,e_demand,2030,1,3,3,0.027833616593487816
4,e_demand,2030,1,4,4,0.027833616593487816
5,e_demand,2030,1,5,5,0.027833616593487816
6,e_demand,2030,1,6,6,0.027833616593487816
7,e_demand,2030,1,7,7,0.027833616593487816
8,e_demand,2030,1,8,8,0.027833616593487816
9,e_demand,2030,1,9,9,0.03896706323088294
10,e_demand,2030,1,10,10,0.027833616593487816
11,e_demand,2030,1,11,11,0.027833616593487816
12,e_demand,2030,1,12,12,0.027833616593487816
13,e_demand,2030,1,13,13,0.027833616593487816
14,e_demand,2030,1,14,14,0.027833616593487816
15,e_demand,2030,1,15,15,0.027833616593487816
16,e_demand,2030,1,16,16,0.027833616593487816
17,e_demand,2030,1,17,17,0.027833616593487816
18,e_demand,2030,1,18,18,0.03896706323088294
19,e_demand,2030,1,19,19,0.03896706323088294
20,e_demand,2030,1,20,20,0.03896706323088294
21,e_demand,2030,1,21,21,0.03896706323088294
22,e_demand,2030,1,22,22,0.027833616593487816
23,e_demand,2030,1,23,23,0.027833616593487816
24,e_demand,2030,1,24,24,0.027833616593487816
25,e_demand,2030,2,1,1,0.025
26,e_demand,2030,2,2,2,0.025
27,e_demand,2030,2,3,3,0.025
28,e_demand,2030,2,4,4,0.025
29,e_demand,2030,2,5,5,0.025
30,e_demand,2030,2,6,6,0.025
31,e_demand,2030,2,7,7,0.025
32,e_demand,2030,2,8,8,0.025
33,e_demand,2030,2,9,9,0.025
34,e_demand,2030,2,10,10,0.025
35,e_demand,2030,2,11,11,0.025
36,e_demand,2030,2,12,12,0.025
37,e_demand,2030,2,13,13,0.025
38,e_demand,2030,2,14,14,0.025
39,e_demand,2030,2,15,15,0.025
40,e_demand,2030,2,16,16,0.025
41,e_demand,2030,2,17,17,0.025
42,e_demand,2030,2,18,18,0.025
43,e_demand,2030,2,19,19,0.025
44,e_demand,2030,2,20,20,0.025
45,e_demand,2030,2,21,21,0.025
46,e_demand,2030,2,22,22,0.025
47,e_demand,2030,2,23,23,0.025
48,e_demand,2030,2,24,24,0.025
49,e_demand,2030,3,1,1,0.025
50,e_demand,2030,3,2,2,0.025
51,e_demand,2030,3,3,3,0.025
52,e_demand,2030,3,4,4,0.025
53,e_demand,2030,3,5,5,0.025
54,e_demand,2030,3,6,6,0.025
55,e_demand,2030,3,7,7,0.025
56,e_demand,2030,3,8,8,0.025
57,e_demand,2030,3,9,9,0.025
58,e_demand,2030,3,10,10,0.025
59,e_demand,2030,3,11,11,0.025
60,e_demand,2030,3,12,12,0.025
61,e_demand,2030,3,13,13,0.025
62,e_demand,2030,3,14,14,0.025
63,e_demand,2030,3,15,15,0.025
64,e_demand,2030,3,16,16,0.025
65,e_demand,2030,3,17,17,0.025
66,e_demand,2030,3,18,18,0.025
67,e_demand,2030,3,19,19,0.035
