base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,33.2092456,108.9846434,539.695865,26.3600297,4.685700547504196e8,OPTIMAL,6824040,4748143,0.0,0.0,,25,9,36.46423909168288,5.139846435702909
convex_cross,4,Xpress,7.2384029,0.9844497,5.8106557,5.6327333,0.3270267,8.990952034171669e9,OPTIMAL,112713,64898,85.4152909,7.009852851498655e8,OPTIMAL,81,92,312.344325908223,229.61169864269186
convex_cross,8,Xpress,7.1650056,1.9980813,6.5412261,14.1155174,0.4314171,6.315667437626793e9,OPTIMAL,173961,112418,49.1843412,7.052601605544034e8,OPTIMAL,163,135,715.4715988143972,148.33898985824763
convex_cross,12,Xpress,21.0790958,1.7096713,11.483097,26.2059142,0.5815437,4.1644659419949265e9,OPTIMAL,235209,159938,49.2166571,6.89902461089925e8,OPTIMAL,203,72,680.1827111870601,60.57448556304488
convex_cross,16,Xpress,15.4069569,2.1495719,13.2523721,35.4625595,0.7616679,3.3188534452797623e9,OPTIMAL,296457,207458,51.200503,6.897981109619966e8,OPTIMAL,262,60,837.3975618952803,55.446738256475776
convex_cross,20,Xpress,30.4508991,2.3590474,14.1361461,49.5029319,0.9401504,3.0443276400494156e9,OPTIMAL,357705,254978,52.8160794,6.778034502335671e8,OPTIMAL,95,11,188.853279858465,7.442922373000004
convex_cross,30,Xpress,24.9005016,6.1058798,15.4300376,79.4901765,1.2472644,1.9484314315623093e9,OPTIMAL,510825,373778,55.225974,6.633282482867881e8,OPTIMAL,80,12,169.30922077347205,7.170786436534179
convex_cross,45,Xpress,43.5339389,5.2589923,24.8134746,123.2119106,2.5721411,1.7733483109365692e9,OPTIMAL,740505,551978,56.9327602,6.524838393517601e8,OPTIMAL,92,15,181.74894871360766,9.695796997364903
convex_cross,60,Xpress,64.6742388,8.2154894,25.9333185,162.7908131,2.4323428,1.5995113241956253e9,OPTIMAL,970185,730178,57.8984768,6.525565651076729e8,OPTIMAL,106,26,228.2996079935341,93.80334941849102
convex_cross,90,Xpress,60.9994036,8.2137148,38.2106829,256.8732546,4.5271055,1.5136479242884064e9,OPTIMAL,1429545,1086578,56.9540564,6.519969345182425e8,OPTIMAL,103,11,295.45542270864803,11.027397259
convex_cross,120,Xpress,97.6286884,13.1714993,50.3762831,270.9583971,6.0931352,1.3972565740145416e9,OPTIMAL,1888905,1442978,57.3734527,6.435413409879059e8,OPTIMAL,111,15,315.9322799616268,11.289954336000003
convex_cross,180,Xpress,202.5805323,17.5786984,97.8430262,352.4537907,8.3123167,1.018293433969368e9,OPTIMAL,2807625,2155778,74.7032298,6.13345906359082e8,OPTIMAL,140,40,382.2378922692096,145.11582260636015
conicalb_cross,4,Xpress,10.1834365,2.2021203,13.6918579,5.8893074,0.3505523,5.715063992688568e9,OPTIMAL,112713,64898,51.6664027,7.068527390619676e8,OPTIMAL,336,152,832.469524582156,136.29167966993242
