base_name,rp,time_to_cluster_mean,time_to_cluster_q25,time_to_cluster_q75,time_to_read_mean,time_to_read_q25,time_to_read_q75,time_to_create_mean,time_to_create_q25,time_to_create_q75,time_to_solve_mean,time_to_solve_q25,time_to_solve_q75,time_to_save_mean,time_to_save_q25,time_to_save_q75,total_time_mean,total_time_q25,total_time_q75,rel_regret_mean,rel_regret_q25,rel_regret_q75,num_loss_of_load_e_demand_mean,num_loss_of_load_e_demand_q25,num_loss_of_load_e_demand_q75,num_loss_of_load_h2_demand_mean,num_loss_of_load_h2_demand_q25,num_loss_of_load_h2_demand_q75,total_steps_loss_of_load_mean,total_steps_loss_of_load_q25,total_steps_loss_of_load_q75,loss_of_load_e_demand_mean,loss_of_load_e_demand_q25,loss_of_load_e_demand_q75,loss_of_load_h2_demand_mean,loss_of_load_h2_demand_q25,loss_of_load_h2_demand_q75,total_lol_mean,total_lol_q25,total_lol_q75
kmedoids_cross_convex,10,7.7648766600000005,7.636765,7.9990591,2.7065348,2.2443517,2.9996851,23.41195562,7.9318095,12.3522708,13.31880472,12.2339572,12.8138602,1.01129862,0.7502134,0.9714468,48.21347042,31.8027508,39.712553099999994,0.07564965367352813,0.07155917227997458,0.07448720182619176,-176.0,-251.0,-191.0,-116.0,-119.0,-114.0,-292.0,-370.0,-305.0,-1209.8225689142732,-1260.3925803326133,-1228.1625071736235,-104.45461975902325,-106.0139804894793,-104.19891199673216,-1314.2771886732967,-1366.4065608220926,-1329.1194100371904
kmedoids_cross_convex,20,10.82975424,10.5996038,10.8067605,4.4658956000000005,4.0218513,4.9065272,17.10516744,13.7348085,16.857282,35.453594599999995,32.5014207,38.9393156,13.45578122,1.1234454,1.2770086,81.3101931,68.21467969999999,78.37692209999999,0.043027832456020806,0.031070278673578675,0.04251859294487531,89.4,-77.0,204.0,-113.0,-116.0,-110.0,-23.6,-187.0,95.0,172.48797061111978,-1187.8154102640904,-811.2256112027802,-103.0413777497046,-104.7468572014793,-102.5208298044793,69.446592861415,-1291.1695734026962,-910.2989524222595
kmedoids_cross_convex,40,17.379116319999998,17.1625553,17.6426116,7.12783114,6.7031699,7.3270474,29.325576359999996,27.1920503,32.4194573,99.39349302,83.3037976,100.4120952,7.4892724,1.9703455,4.8260929,160.71528924,141.0463979,166.4254312,0.024589975470127885,0.024464665858206586,0.02520216249774123,359.8,270.0,370.0,-103.4,-113.0,-98.0,256.4,157.0,256.0,-667.2434970853708,-732.2698267865877,-570.1835744960769,-98.0984553738793,-103.74229099147931,-93.10302158447931,-765.34195245925,-836.012117778067,-663.2865960805561
kmedoids_cross_convex,60,23.948807940000002,23.7195845,24.3612571,10.10778332,9.9801454,10.3433778,38.812553660000006,35.9649992,37.2008713,161.25972688000002,147.5137897,167.4423166,2.7057943599999996,2.5838974,2.8060373,236.83466616,221.6919632,240.33261570000002,0.019827729216659883,0.02003033063149232,0.02016292544988381,306.6,298.0,359.0,-108.6,-111.0,-106.0,198.0,192.0,261.0,-642.0845029671578,-762.4168329780036,-637.0501441930493,-101.1144371092793,-101.8587293454793,-100.1121540034793,-743.1989400764372,-864.275562323483,-733.5093301615286
kmedoids_cross_convex,80,29.78830978,29.4876032,29.8576766,11.612728760000001,11.0168788,12.0328491,46.04297912,41.6434737,48.2631228,236.97440606,228.4634206,237.8632536,4.55469432,3.4990546,3.7344662,328.97311804000003,323.3696693,329.02837900000003,0.017770575726457502,0.016806410061026907,0.018926657149624035,325.2,215.0,368.0,-88.0,-88.0,-82.0,237.2,135.0,280.0,-658.586390684889,-717.849479448937,-568.248899831149,-91.0596425838793,-92.60073847347931,-87.5893229464793,-749.6460332687683,-809.5141448624163,-655.8382227776283
kmedoids_cross_convex,100,36.57759014,36.5228527,36.9139364,15.61122038,14.5386187,16.2503312,64.04643174,59.6508858,68.7651107,273.28271970000003,250.2284883,286.1823043,14.75617466,4.6647442,8.0611753,404.27413662,375.7301859,431.13078759999996,0.016125515026342373,0.014801928687950532,0.018132306252943518,267.4,131.0,387.0,-100.8,-109.0,-91.0,166.6,42.0,283.0,-680.2703531463051,-808.009578280424,-508.8637168528178,-95.58475674207929,-100.1235695274793,-96.0368115354793,-775.8551098883843,-908.1331478079032,-606.3617156052971
kmedoids_cross_convex,150,106.12361312,105.9497942,106.2278613,22.697832580000004,19.8476317,22.5248171,85.24944886,84.6110513,86.4996952,580.79475956,492.3674825,561.5327079,9.806169639999998,9.4415826,10.2155434,804.67182376,716.8025503,782.2001842,0.01254280706433045,0.01237604738626941,0.012742460745679965,76.6,-17.0,241.0,-105.8,-112.0,-106.0,-29.2,-129.0,135.0,-811.8532973420363,-934.4744416707124,-643.714093196465,-96.68977957387929,-100.7742544604793,-99.0276791184793,-908.5430769159154,-1036.5728970441917,-744.4883476569443
kmedoids_cross_convex,225,169.63737158,168.3679501,170.5379753,41.11390184,38.4843498,46.7758588,156.94910438000002,136.8273765,153.3443254,635.0648644999999,572.4054675,639.4862064,20.299444380000004,10.0610973,13.9675122,1023.0646866800001,1005.9085612,1010.6307637,0.010569549650192984,0.009085092852915158,0.01182903411740392,51.8,-81.0,157.0,-104.8,-112.0,-107.0,-53.0,-193.0,48.0,-749.9523900479145,-925.6398575617372,-682.4225395444575,-98.11672021327931,-102.1098708994793,-99.9180900754793,-848.0691102611938,-1025.5579476372166,-784.5324104439369
kmedoids_cross_convex,300,177.332742,177.332742,177.332742,74.8079633,74.8079633,74.8079633,259.7079211,259.7079211,259.7079211,906.4630685,906.4630685,906.4630685,17.3277153,17.3277153,17.3277153,1435.6394102,1435.6394102,1435.6394102,0.011809284144519504,0.011809284144519504,0.011809284144519504,-25.0,-25.0,-25.0,-110.0,-110.0,-110.0,-135.0,-135.0,-135.0,-984.9217787383652,-984.9217787383652,-984.9217787383652,-101.8929759214793,-101.8929759214793,-101.8929759214793,-1086.8147546598445,-1086.8147546598445,-1086.8147546598445
kmedoids_per_convex,10,6.241930819999999,5.9588498,6.0334631,3.2864077600000003,2.7313139,3.8297539,23.662461620000002,16.156209,23.7474218,9.85259788,9.4748477,9.5893757,2.21357892,0.7992137,2.4957269,45.256977000000006,36.4476755,42.68657,0.0964667301051471,0.09646673010498391,0.0964667301057685,-306.0,-306.0,-306.0,-119.0,-119.0,-119.0,-425.0,-425.0,-425.0,-1268.7946360529158,-1268.7946360529158,-1268.7946360529158,-106.01398048947928,-106.0139804894793,-106.0139804894793,-1374.8086165423952,-1374.8086165423952,-1374.8086165423952
