id,from_asset,to_asset,year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.12620608555830315
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.1324376472456787
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.047850697425394884
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,wind,e_demand,2030,1,1.0,1.0,1,1,0.0
26,wind,e_demand,2030,1,1.0,1.0,2,2,0.0
27,wind,e_demand,2030,1,1.0,1.0,3,3,0.0
28,wind,e_demand,2030,1,1.0,1.0,4,4,0.0
29,wind,e_demand,2030,1,1.0,1.0,5,5,0.0
30,wind,e_demand,2030,1,1.0,1.0,6,6,0.0
31,wind,e_demand,2030,1,1.0,1.0,7,7,0.0
32,wind,e_demand,2030,1,1.0,1.0,8,8,0.0
33,wind,e_demand,2030,1,1.0,1.0,9,9,0.0
34,wind,e_demand,2030,1,1.0,1.0,10,10,0.0
35,wind,e_demand,2030,1,1.0,1.0,11,11,0.0
36,wind,e_demand,2030,1,1.0,1.0,12,12,0.0
37,wind,e_demand,2030,1,1.0,1.0,13,13,0.0
38,wind,e_demand,2030,1,1.0,1.0,14,14,0.0
39,wind,e_demand,2030,1,1.0,1.0,15,15,0.0
40,wind,e_demand,2030,1,1.0,1.0,16,16,0.0
41,wind,e_demand,2030,1,1.0,1.0,17,17,0.0
42,wind,e_demand,2030,1,1.0,1.0,18,18,0.0
43,wind,e_demand,2030,1,1.0,1.0,19,19,0.0
44,wind,e_demand,2030,1,1.0,1.0,20,20,0.0
45,wind,e_demand,2030,1,1.0,1.0,21,21,0.0
46,wind,e_demand,2030,1,1.0,1.0,22,22,0.0
47,wind,e_demand,2030,1,1.0,1.0,23,23,0.0
48,wind,e_demand,2030,1,1.0,1.0,24,24,0.0
49,wind_offshore,e_demand,2030,1,1.0,1.0,1,1,0.0
50,wind_offshore,e_demand,2030,1,1.0,1.0,2,2,0.0
51,wind_offshore,e_demand,2030,1,1.0,1.0,3,3,0.0
52,wind_offshore,e_demand,2030,1,1.0,1.0,4,4,0.0
53,wind_offshore,e_demand,2030,1,1.0,1.0,5,5,0.0
54,wind_offshore,e_demand,2030,1,1.0,1.0,6,6,0.0
55,wind_offshore,e_demand,2030,1,1.0,1.0,7,7,0.0
56,wind_offshore,e_demand,2030,1,1.0,1.0,8,8,0.0
57,wind_offshore,e_demand,2030,1,1.0,1.0,9,9,0.0
58,wind_offshore,e_demand,2030,1,1.0,1.0,10,10,0.0
59,wind_offshore,e_demand,2030,1,1.0,1.0,11,11,0.0
60,wind_offshore,e_demand,2030,1,1.0,1.0,12,12,0.0
61,wind_offshore,e_demand,2030,1,1.0,1.0,13,13,0.0
62,wind_offshore,e_demand,2030,1,1.0,1.0,14,14,0.0
63,wind_offshore,e_demand,2030,1,1.0,1.0,15,15,0.0
64,wind_offshore,e_demand,2030,1,1.0,1.0,16,16,0.0
65,wind_offshore,e_demand,2030,1,1.0,1.0,17,17,0.0
66,wind_offshore,e_demand,2030,1,1.0,1.0,18,18,0.0
67,wind_offshore,e_demand,2030,1,1.0,1.0,19,19,0.0
68,wind_offshore,e_demand,2030,1,1.0,1.0,20,20,0.0
69,wind_offshore,e_demand,2030,1,1.0,1.0,21,21,0.0
70,wind_offshore,e_demand,2030,1,1.0,1.0,22,22,0.0
71,wind_offshore,e_demand,2030,1,1.0,1.0,23,23,0.0
72,wind_offshore,e_demand,2030,1,1.0,1.0,24,24,0.0
73,ocgt,e_demand,2030,1,1.0,1.0,1,1,0.0
74,ocgt,e_demand,2030,1,1.0,1.0,2,2,0.0
75,ocgt,e_demand,2030,1,1.0,1.0,3,3,0.0
76,ocgt,e_demand,2030,1,1.0,1.0,4,4,0.0
77,ocgt,e_demand,2030,1,1.0,1.0,5,5,0.0
78,ocgt,e_demand,2030,1,1.0,1.0,6,6,0.0
79,ocgt,e_demand,2030,1,1.0,1.0,7,7,0.0
80,ocgt,e_demand,2030,1,1.0,1.0,8,8,0.0
81,ocgt,e_demand,2030,1,1.0,1.0,9,9,0.0
82,ocgt,e_demand,2030,1,1.0,1.0,10,10,0.0
83,ocgt,e_demand,2030,1,1.0,1.0,11,11,0.0
84,ocgt,e_demand,2030,1,1.0,1.0,12,12,0.0
85,ocgt,e_demand,2030,1,1.0,1.0,13,13,0.0
86,ocgt,e_demand,2030,1,1.0,1.0,14,14,0.0
87,ocgt,e_demand,2030,1,1.0,1.0,15,15,0.0
88,ocgt,e_demand,2030,1,1.0,1.0,16,16,0.0
89,ocgt,e_demand,2030,1,1.0,1.0,17,17,0.0
90,ocgt,e_demand,2030,1,1.0,1.0,18,18,0.0
91,ocgt,e_demand,2030,1,1.0,1.0,19,19,0.21254310629976675
92,ocgt,e_demand,2030,1,1.0,1.0,20,20,0.21254310629976675
93,ocgt,e_demand,2030,1,1.0,1.0,21,21,0.21254310629976675
94,ocgt,e_demand,2030,1,1.0,1.0,22,22,0.21254310629976675
95,ocgt,e_demand,2030,1,1.0,1.0,23,23,0.12164018967022949
96,ocgt,e_demand,2030,1,1.0,1.0,24,24,0.07271813633806135
97,ccgt,e_demand,2030,1,1.0,1.0,1,1,1.0263597873095678
98,ccgt,e_demand,2030,1,1.0,1.0,2,2,0.9878616837386557
99,ccgt,e_demand,2030,1,1.0,1.0,3,3,0.9633097932977176
100,ccgt,e_demand,2030,1,1.0,1.0,4,4,0.9273513988905726
101,ccgt,e_demand,2030,1,1.0,1.0,5,5,0.9327776918717702
102,ccgt,e_demand,2030,1,1.0,1.0,6,6,0.9511029042513942
103,ccgt,e_demand,2030,1,1.0,1.0,7,7,0.9551372064662701
104,ccgt,e_demand,2030,1,1.0,1.0,8,8,0.7865251620664103
105,ccgt,e_demand,2030,1,1.0,1.0,9,9,0.5851784364252993
106,ccgt,e_demand,2030,1,1.0,1.0,10,10,0.42297730816330925
107,ccgt,e_demand,2030,1,1.0,1.0,11,11,0.357406513424827
108,ccgt,e_demand,2030,1,1.0,1.0,12,12,0.3645028890980446
109,ccgt,e_demand,2030,1,1.0,1.0,13,13,0.3481927439167323
110,ccgt,e_demand,2030,1,1.0,1.0,14,14,0.35926238400603294
111,ccgt,e_demand,2030,1,1.0,1.0,15,15,0.4150085928366327
112,ccgt,e_demand,2030,1,1.0,1.0,16,16,0.5816767163882095
113,ccgt,e_demand,2030,1,1.0,1.0,17,17,0.8105357862095806
114,ccgt,e_demand,2030,1,1.0,1.0,18,18,1.0217639760301778
115,ccgt,e_demand,2030,1,1.0,1.0,19,19,1.0314555043473197
116,ccgt,e_demand,2030,1,1.0,1.0,20,20,1.0314555043473197
117,ccgt,e_demand,2030,1,1.0,1.0,21,21,1.0314555043473197
118,ccgt,e_demand,2030,1,1.0,1.0,22,22,1.0314555043473197
119,ccgt,e_demand,2030,1,1.0,1.0,23,23,1.0314555043473197
120,ccgt,e_demand,2030,1,1.0,1.0,24,24,1.0314555043473197
121,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
122,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
123,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
124,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
125,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
126,solar,e_demand,2030,1,1.0,1.0,6,6,0.00017940755468799882
127,solar,e_demand,2030,1,1.0,1.0,7,7,0.035758937409808254
128,solar,e_demand,2030,1,1.0,1.0,8,8,0.2844353038741708
129,solar,e_demand,2030,1,1.0,1.0,9,9,0.6098118726012337
130,solar,e_demand,2030,1,1.0,1.0,10,10,0.8729867265611764
131,solar,e_demand,2030,1,1.0,1.0,11,11,1.0355997348042194
132,solar,e_demand,2030,1,1.0,1.0,12,12,1.1422937188777105
133,solar,e_demand,2030,1,1.0,1.0,13,13,1.1773598484727836
134,solar,e_demand,2030,1,1.0,1.0,14,14,1.1615526964148648
135,solar,e_demand,2030,1,1.0,1.0,15,15,1.0936953351504364
136,solar,e_demand,2030,1,1.0,1.0,16,16,0.9328728579143639
137,solar,e_demand,2030,1,1.0,1.0,17,17,0.7133088520836088
138,solar,e_demand,2030,1,1.0,1.0,18,18,0.4494769896360186
139,solar,e_demand,2030,1,1.0,1.0,19,19,0.17086776049584368
140,solar,e_demand,2030,1,1.0,1.0,20,20,0.003059263582008509
141,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
142,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
143,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
144,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
145,wind_offshore,e_demand,2030,2,1.0,1.0,1,1,0.0
146,wind_offshore,e_demand,2030,2,1.0,1.0,2,2,0.0
147,wind_offshore,e_demand,2030,2,1.0,1.0,3,3,0.0
148,wind_offshore,e_demand,2030,2,1.0,1.0,4,4,0.0
149,wind_offshore,e_demand,2030,2,1.0,1.0,5,5,0.0
150,wind_offshore,e_demand,2030,2,1.0,1.0,6,6,0.0
151,wind_offshore,e_demand,2030,2,1.0,1.0,7,7,0.0
