base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,2.2981793,9.7347944,10.2632516,1.2297727,448.28133724488407,OPTIMAL,297840,210247,0.0,0.0,,0
kmeans_cross_convex,4,Gurobi,0.8663762,0.3960242,0.9518113,0.0645716,0.0329952,373.7167984095815,OPTIMAL,3534,1793,139.9591231,1.3358412590095063e6,OPTIMAL,5342
kmeans_cross_convex,4,Gurobi,0.7579565,0.3528556,1.0694367,0.0524625,0.0334133,386.9372846865945,OPTIMAL,3534,1793,10.0271986,718928.3435948133,OPTIMAL,3763
kmeans_cross_convex,4,Gurobi,0.7813293,0.3296987,1.1952635,0.0581583,0.0326419,390.1740480584132,OPTIMAL,3534,1793,13.6596039,503335.3928181201,OPTIMAL,2799
kmeans_cross_convex,4,Gurobi,2.2329857,0.3869161,1.0467397,0.0515739,0.0348587,390.1740480584133,OPTIMAL,3534,1793,0.0546257,503335.392818121,OPTIMAL,2799
kmeans_cross_convex,4,Gurobi,0.8352659,0.3795936,1.1712121,0.0505136,0.0404853,390.19763872770653,OPTIMAL,3534,1793,0.1557605,506143.4002102233,OPTIMAL,2809
kmeans_cross_convex,4,Gurobi,0.755139,0.3690166,1.2784763,0.0641126,0.0362386,374.1199539533772,OPTIMAL,3534,1793,15.9449174,1.3211293332572957e6,OPTIMAL,5552
kmeans_cross_convex,4,Gurobi,0.7614972,0.3754881,1.3899935,0.0508178,0.0351028,390.15866448236653,OPTIMAL,3534,1793,20.3639234,503661.153644057,OPTIMAL,2703
kmeans_cross_convex,4,Gurobi,0.7914446,0.3870335,1.5889581,0.0505116,0.0346028,390.19763872770653,OPTIMAL,3534,1793,0.1125184,506143.4002102234,OPTIMAL,2714
kmeans_cross_convex,4,Gurobi,0.7859429,0.4258441,1.736662,0.0572438,0.0395024,373.76138339281135,OPTIMAL,3534,1793,6.8797432,1.3036783558213622e6,OPTIMAL,5588
kmeans_cross_convex,4,Gurobi,2.3380545,0.3981912,1.080885,0.0667517,0.0414366,387.0220339318435,OPTIMAL,3534,1793,13.5538722,667199.1200060702,OPTIMAL,3407
kmeans_cross_convex,8,Gurobi,1.2219235,0.3893416,1.1979464,0.0857134,0.0404408,394.3249414600375,OPTIMAL,4878,2849,4.3855822,510648.6415171957,OPTIMAL,2807
kmeans_cross_convex,8,Gurobi,1.4505751,0.3873052,1.2089984,0.0850665,0.0404552,388.4344859411926,OPTIMAL,4878,2849,1.1688653,496800.7565499835,OPTIMAL,2778
kmeans_cross_convex,8,Gurobi,1.3060016,0.3822555,1.2480096,0.0842892,0.0338674,389.4217506376614,OPTIMAL,4878,2849,0.5848841,466182.48375727964,OPTIMAL,2619
kmeans_cross_convex,8,Gurobi,1.2097055,0.3804054,1.3192319,0.0812047,0.0406436,394.2761931613772,OPTIMAL,4878,2849,0.6311291,405317.11303564726,OPTIMAL,2452
kmeans_cross_convex,8,Gurobi,1.1223406,0.4456474,1.420485,0.0936221,0.0356321,392.64397632275694,OPTIMAL,4878,2849,1.4617774,417709.5543588598,OPTIMAL,2421
kmeans_cross_convex,8,Gurobi,2.9286833,0.437125,1.0464479,0.0853613,0.0397635,392.1073039971454,OPTIMAL,4878,2849,1.9323818,694946.7048921282,OPTIMAL,3343
kmeans_cross_convex,8,Gurobi,1.3096736,0.5108935,1.065881,0.0934636,0.0399918,387.3787897369268,OPTIMAL,4878,2849,1.0048656,557822.3813194335,OPTIMAL,2970
kmeans_cross_convex,8,Gurobi,1.1680405,0.3919908,1.6813602,0.0923979,0.0411912,389.38613792296144,OPTIMAL,4878,2849,0.653959,616853.5752648279,OPTIMAL,3174
kmeans_cross_convex,8,Gurobi,1.2398585,0.3674031,1.2971781,0.0907211,0.0371606,388.97748629575625,OPTIMAL,4878,2849,1.5245166,445059.218539628,OPTIMAL,2499
kmeans_cross_convex,8,Gurobi,1.3018164,0.5085727,1.5472457,0.0900556,0.0400855,393.1658454113824,OPTIMAL,4878,2849,0.4208248,477500.90680696577,OPTIMAL,2621
kmeans_cross_convex,12,Gurobi,1.2944778,0.492617,1.9337149,0.1191447,0.0484427,396.1627592002979,OPTIMAL,6222,3905,1.0777464,369406.7703605462,OPTIMAL,2251
kmeans_cross_convex,12,Gurobi,2.9210417,0.4449989,1.2083575,0.1097694,0.0542146,394.53208680702755,OPTIMAL,6222,3905,0.1924318,389141.39698089607,OPTIMAL,2352
kmeans_cross_convex,12,Gurobi,1.4443204,0.4086022,1.1253264,0.1179866,0.0411768,391.75198138142105,OPTIMAL,6222,3905,0.7996792,410041.2312898786,OPTIMAL,2444
kmeans_cross_convex,12,Gurobi,1.2969274,0.4075274,1.2756464,0.1032355,0.0394115,394.9505517540311,OPTIMAL,6222,3905,0.3665729,342547.23314979044,OPTIMAL,2145
kmeans_cross_convex,12,Gurobi,1.2524682,0.4357195,1.3391562,0.1561153,0.0527637,395.1175903315109,OPTIMAL,6222,3905,0.3818948,319286.4445794954,OPTIMAL,2025
kmeans_cross_convex,12,Gurobi,1.6711999,0.4683405,1.3548096,0.1007625,0.0404611,393.25789682665203,OPTIMAL,6222,3905,0.5313194,499898.2485444785,OPTIMAL,2776
kmeans_cross_convex,12,Gurobi,1.3340888,0.4424472,1.4205891,0.1023752,0.0425897,393.05257157331107,OPTIMAL,6222,3905,0.4155653,449168.2993228174,OPTIMAL,2611
kmeans_cross_convex,12,Gurobi,3.1218342,0.6048326,1.0652343,0.1285743,0.0413159,393.2019847768477,OPTIMAL,6222,3905,0.1860879,469473.1049122109,OPTIMAL,2667
kmeans_cross_convex,12,Gurobi,1.3469569,0.4210737,1.0760217,0.1055871,0.0407794,392.6671033628165,OPTIMAL,6222,3905,0.4193079,392128.32167771744,OPTIMAL,2394
kmeans_cross_convex,12,Gurobi,1.230648,0.3839419,1.1376218,0.1255008,0.0504999,394.9323777551093,OPTIMAL,6222,3905,0.9523033,445400.48914607876,OPTIMAL,2549
kmeans_cross_convex,16,Gurobi,1.3528866,0.4047493,1.2166849,0.1337191,0.0560232,399.0322531301129,OPTIMAL,7566,4961,1.0562826,230572.09708346816,OPTIMAL,1606
kmeans_cross_convex,16,Gurobi,1.4013245,0.4186503,1.3084729,0.1479853,0.0560879,397.1254113530253,OPTIMAL,7566,4961,1.7448528,369697.1219004753,OPTIMAL,2283
kmeans_cross_convex,16,Gurobi,1.4095116,0.43651,1.4432046,0.1450053,0.0455924,396.4301594260698,OPTIMAL,7566,4961,0.9184926,282768.9968945412,OPTIMAL,1867
kmeans_cross_convex,16,Gurobi,2.9383456,0.4782587,1.0167325,0.1495099,0.0408974,398.59835874461294,OPTIMAL,7566,4961,1.031183,441688.77709855506,OPTIMAL,2606
kmeans_cross_convex,16,Gurobi,1.4313866,0.4116355,1.0803185,0.1810478,0.04334,397.1088509832613,OPTIMAL,7566,4961,0.6291419,306602.02351138997,OPTIMAL,1988
kmeans_cross_convex,16,Gurobi,1.2604278,0.3783288,1.2001733,0.1521782,0.0539517,409.58498264022376,OPTIMAL,7566,4961,0.4471471,40113.42833309902,OPTIMAL,313
