id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,e_demand,2030,1,1,1,0.029751736981240413
2,e_demand,2030,1,2,2,0.029751736981240413
3,e_demand,2030,1,3,3,0.029751736981240413
4,e_demand,2030,1,4,4,0.029751736981240413
5,e_demand,2030,1,5,5,0.029751736981240413
6,e_demand,2030,1,6,6,0.029751736981240413
7,e_demand,2030,1,7,7,0.029751736981240413
8,e_demand,2030,1,8,8,0.04165243177373658
9,e_demand,2030,1,9,9,0.04165243177373658
10,e_demand,2030,1,10,10,0.04165243177373658
11,e_demand,2030,1,11,11,0.04165243177373658
12,e_demand,2030,1,12,12,0.04165243177373658
13,e_demand,2030,1,13,13,0.029751736981240413
14,e_demand,2030,1,14,14,0.029751736981240413
15,e_demand,2030,1,15,15,0.029751736981240413
16,e_demand,2030,1,16,16,0.029751736981240413
17,e_demand,2030,1,17,17,0.04165243177373658
18,e_demand,2030,1,18,18,0.04165243177373658
19,e_demand,2030,1,19,19,0.04165243177373658
20,e_demand,2030,1,20,20,0.04165243177373658
21,e_demand,2030,1,21,21,0.04165243177373658
22,e_demand,2030,1,22,22,0.04165243177373658
23,e_demand,2030,1,23,23,0.04165243177373658
24,e_demand,2030,1,24,24,0.029751736981240413
25,e_demand,2030,2,1,1,0.025
26,e_demand,2030,2,2,2,0.025
27,e_demand,2030,2,3,3,0.025
28,e_demand,2030,2,4,4,0.025
29,e_demand,2030,2,5,5,0.025
30,e_demand,2030,2,6,6,0.025
31,e_demand,2030,2,7,7,0.025
32,e_demand,2030,2,8,8,0.025
33,e_demand,2030,2,9,9,0.025
34,e_demand,2030,2,10,10,0.025
35,e_demand,2030,2,11,11,0.025
36,e_demand,2030,2,12,12,0.025
37,e_demand,2030,2,13,13,0.025
38,e_demand,2030,2,14,14,0.025
39,e_demand,2030,2,15,15,0.025
40,e_demand,2030,2,16,16,0.025
41,e_demand,2030,2,17,17,0.025
42,e_demand,2030,2,18,18,0.025
43,e_demand,2030,2,19,19,0.035
44,e_demand,2030,2,20,20,0.035
45,e_demand,2030,2,21,21,0.035
46,e_demand,2030,2,22,22,0.035
47,e_demand,2030,2,23,23,0.025
48,e_demand,2030,2,24,24,0.025
49,e_demand,2030,3,1,1,0.025689526140341513
50,e_demand,2030,3,2,2,0.025689526140341513
51,e_demand,2030,3,3,3,0.025689526140341513
52,e_demand,2030,3,4,4,0.025689526140341513
53,e_demand,2030,3,5,5,0.025689526140341513
54,e_demand,2030,3,6,6,0.025689526140341513
55,e_demand,2030,3,7,7,0.025689526140341513
56,e_demand,2030,3,8,8,0.025689526140341513
57,e_demand,2030,3,9,9,0.025689526140341513
58,e_demand,2030,3,10,10,0.025689526140341513
59,e_demand,2030,3,11,11,0.025689526140341513
60,e_demand,2030,3,12,12,0.025689526140341513
61,e_demand,2030,3,13,13,0.025689526140341513
62,e_demand,2030,3,14,14,0.025689526140341513
63,e_demand,2030,3,15,15,0.025689526140341513
64,e_demand,2030,3,16,16,0.025689526140341513
65,e_demand,2030,3,17,17,0.025689526140341513
66,e_demand,2030,3,18,18,0.03596533659647812
67,e_demand,2030,3,19,19,0.03596533659647812
68,e_demand,2030,3,20,20,0.03596533659647812
69,e_demand,2030,3,21,21,0.03596533659647812
70,e_demand,2030,3,22,22,0.03596533659647812
71,e_demand,2030,3,23,23,0.025689526140341513
72,e_demand,2030,3,24,24,0.025689526140341513
73,e_demand,2030,4,1,1,0.0253462062122059
74,e_demand,2030,4,2,2,0.0253462062122059
75,e_demand,2030,4,3,3,0.0253462062122059
76,e_demand,2030,4,4,4,0.0253462062122059
77,e_demand,2030,4,5,5,0.0253462062122059
78,e_demand,2030,4,6,6,0.0253462062122059
79,e_demand,2030,4,7,7,0.0253462062122059
80,e_demand,2030,4,8,8,0.0253462062122059
81,e_demand,2030,4,9,9,0.0253462062122059
82,e_demand,2030,4,10,10,0.0253462062122059
83,e_demand,2030,4,11,11,0.0253462062122059
84,e_demand,2030,4,12,12,0.0253462062122059
85,e_demand,2030,4,13,13,0.0253462062122059
86,e_demand,2030,4,14,14,0.0253462062122059
87,e_demand,2030,4,15,15,0.0253462062122059
88,e_demand,2030,4,16,16,0.0253462062122059
89,e_demand,2030,4,17,17,0.0253462062122059
90,e_demand,2030,4,18,18,0.0253462062122059
91,e_demand,2030,4,19,19,0.035484688697088256
92,e_demand,2030,4,20,20,0.035484688697088256
93,e_demand,2030,4,21,21,0.035484688697088256
94,e_demand,2030,4,22,22,0.0253462062122059
95,e_demand,2030,4,23,23,0.0253462062122059
96,e_demand,2030,4,24,24,0.0253462062122059
97,e_demand,2030,5,1,1,0.0444160656797754
98,e_demand,2030,5,2,2,0.0444160656797754
99,e_demand,2030,5,3,3,0.0444160656797754
100,e_demand,2030,5,4,4,0.0444160656797754
101,e_demand,2030,5,5,5,0.0444160656797754
102,e_demand,2030,5,6,6,0.0444160656797754
103,e_demand,2030,5,7,7,0.0444160656797754
104,e_demand,2030,5,8,8,0.0444160656797754
