base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand,penalty_tot_loss_of_load,investment_cost,operational_cost,investment_cost_storage,investment_cost_renewable,investment_cost_non_renewable,investment_cost_electrolyzer,non_renewable_capacity
0_HourlyBenchmark,1,Xpress,0.0,20.0792671,86.916122,377.6217956,24.3852094,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15,2.0735140160008066e6,4.332296452506538e8,2.0917564480729498e7,1.2321828290281203e7,1.712434486116668e8,4.065466382790575e7,2.0900970452079993e8,284.1394641771362
convex_cross,4,Xpress,8.1266246,1.2935479,4.8514721,4.9494703,0.3060808,5.294202844028023e9,OPTIMAL,112713,64898,93.0076096,6.925141728976636e8,OPTIMAL,44,52,181.32935155597085,153.71277368222547,6.700842504763921e6,6.688918996482712e8,2.2872509032066822e7,3.0822833913802784e6,2.40934118136965e8,2.1661555781643683e8,2.0900970452079993e8,571.0579428584426
convex_cross,8,Xpress,3.93709,0.6836939,4.0714135,12.3669327,0.6258817,2.5168018631613083e9,OPTIMAL,173961,112418,60.4941212,6.663639574925436e8,OPTIMAL,91,82,185.21573212439694,73.20824163430503,5.168479475174041e6,6.404874520661758e8,2.501756346777275e7,5.883860746792473e6,2.1290145723558506e8,2.135513715215833e8,2.0900970452079993e8,560.3495002315339
convex_cross,12,Xpress,3.6189723,0.8475832,4.9664792,22.1609876,0.4960978,2.0171068117361145e9,OPTIMAL,235209,159938,55.6402017,6.58361694983022e8,OPTIMAL,54,9,111.31503310203918,8.285917524794396,2.392019012536671e6,6.362547832254231e8,2.1247969799002066e7,6.983187368848246e6,2.09654820453367e8,2.1146601284099305e8,2.0900970452079993e8,558.0741690074561
convex_cross,16,Xpress,6.9359017,1.0832556,10.469486,36.724284,0.7267961,2.0388013156886215e9,OPTIMAL,296457,207458,56.0708843,6.589858979335746e8,OPTIMAL,51,8,107.27992580768148,6.722672607720215,2.2800519683080353e6,6.369960606112903e8,2.1130895363688335e7,7.014640655246667e6,2.1078288655973962e8,2.1104777083408928e8,2.0900970452079993e8,556.8282623760281
convex_cross,20,Xpress,4.7472252,1.2784734,7.1057747,45.0386685,0.7899357,1.869895880195671e9,OPTIMAL,357705,254978,54.8975189,6.533293721052768e8,OPTIMAL,67,11,124.11602939390094,12.414935104378099,2.7306192899655807e6,6.33659038510403e8,1.9403465789808773e7,6.657778489445603e6,2.0792638985200304e8,2.10332033453206e8,2.0900970452079993e8,555.0814460792639
convex_cross,30,Xpress,17.9498166,1.8093422,10.1036963,64.4513621,1.0143224,1.5906351974416504e9,OPTIMAL,510825,373778,55.2790477,6.413668259821705e8,OPTIMAL,67,22,150.8167821247427,72.38223013774889,4.46398024524983e6,6.196580200919656e8,2.1708805890187148e7,6.1813263403124055e6,1.9543011998750085e8,2.0903686924335217e8,2.0900970452079993e8,551.8638247946669
convex_cross,45,Xpress,18.539715,2.8710045,22.4555686,104.0159261,2.3052046,1.1338341611613388e9,OPTIMAL,740505,551978,76.2505515,5.961591199798086e8,OPTIMAL,28,15,43.56468554688966,6.788247357897735,1.0070586580957479e6,5.723215780593339e8,2.3837541920458872e7,7.561847234655811e6,1.4742446156984207e8,2.0832556473403573e8,2.0900970452079993e8,548.4143198187526
convex_cross,60,Xpress,15.3974461,4.5504737,18.3338051,176.2064949,11.6451895,1.0841903068333511e9,OPTIMAL,970185,730178,72.4244276,5.945050657163308e8,OPTIMAL,16,6,36.805838172487086,2.829157181999689,792699.9070897354,5.71186003215576e8,2.331906250074022e7,7.619846216338047e6,1.463208228676657e8,2.0823562961077183e8,2.0900970452079993e8,548.1816016250322
convex_cross,90,Xpress,23.5687383,6.6017212,26.6071159,251.8713356,4.1509362,8.702891643784027e8,OPTIMAL,1429545,1086578,80.9103359,5.875715619390513e8,OPTIMAL,20,5,42.03625228149084,3.278414923315915,906293.3440961351,5.625168791394087e8,2.5054682799631413e7,7.620658424041389e6,1.388524947685368e8,2.0703402142603028e8,2.0900970452079993e8,547.1675712177922
convex_cross,120,Xpress,45.1874854,9.632845,49.8427898,273.4884392,5.3376862,8.484220742073288e8,OPTIMAL,1888905,1442978,88.3710707,5.857884153321577e8,OPTIMAL,34,11,49.855154408267154,20.457558130998915,1.4062542507853217e6,5.599935331246434e8,2.5794882207501773e7,7.789505637935884e6,1.3618489457667276e8,2.0700942838923466e8,2.0900970452079993e8,547.0520577755201
convex_cross,180,Xpress,103.4110827,15.5631205,71.5071503,354.1716789,8.4636552,7.129544723160095e8,OPTIMAL,2807625,2155778,90.0404334,5.247692136571052e8,OPTIMAL,109,103,503.12319450659857,333.5432442172587,1.6733328774477148e7,4.820472522390548e8,4.272196141799122e7,8.003130242904286e6,1.352621614045058e8,1.297722560708447e8,2.0900970452079993e8,466.47194534772177
